date;Germany;India;Canada
2020-08-01;209653;1750723;117140
2020-08-02;209893;1803695;117324
2020-08-03;210402;1855745;117591
2020-08-04;211281;1908254;118280
2020-08-05;212022;1964536;118638
2020-08-06;213067;2027074;118971
2020-08-07;214214;2088611;119413
2020-08-08;215336;2153010;119652
2020-08-09;215891;2215074;119875
2020-08-10;216327;2268675;120458
2020-08-11;217293;2329638;120820
2020-08-12;218519;2396637;121153
2020-08-13;219964;2461190;121647
2020-08-14;221413;2525922;122059
2020-08-15;222828;2589952;122269
2020-08-16;223453;2647663;122444
2020-08-17;224014;2702681;122648
2020-08-18;225404;2767253;123551
2020-08-19;226914;2836925;123906
2020-08-20;228621;2905825;124152
2020-08-21;230048;2975701;124857
2020-08-22;232082;3044940;125060
2020-08-23;232864;3106348;125323
2020-08-24;233575;3167323;126064
2020-08-25;234853;3224547;126435
2020-08-26;236429;3310234;126919
2020-08-27;237936;3387500;127394
2020-08-28;239507;3463972;127956
2020-08-29;240986;3542733;128283
2020-08-30;241771;3621245;128561
2020-08-31;242381;3691166;129594
2020-09-01;243599;3769523;130131
2020-09-02;244855;3853406;130698
2020-09-03;246166;3936747;131350
2020-09-04;247619;4023179;131988
2020-09-05;248997;4113811;132368
2020-09-06;249985;4204613;132799
2020-09-07;250799;4280422;133216
2020-09-08;252298;4370128;134694
2020-09-09;253474;4465863;135200
2020-09-10;255366;4562414;136182
2020-09-11;256850;4659984;136997
2020-09-12;258480;4754356;137636
2020-09-13;259428;4846427;138212
2020-09-14;260355;4930236;139541
2020-09-15;261762;5020359;140471
2020-09-16;263663;5118253;141475
2020-09-17;265857;5214677;142590
2020-09-18;267773;5308014;143871
2020-09-19;270070;5400619;144837
2020-09-20;271415;5487580;145771
2020-09-21;272337;5562663;147451
2020-09-22;274158;5646010;148664
2020-09-23;275927;5732518;150089
2020-09-24;278070;5818570;151519
2020-09-25;280223;5903932;153313
2020-09-26;282730;5992532;154946
2020-09-27;284140;6074702;156404
2020-09-28;285332;6145291;158607
2020-09-29;287421;6225763;160539
2020-09-30;289219;6312584;162560
2020-10-01;291722;6394068;164444
2020-10-02;294395;6473544;166611
2020-10-03;296958;6549373;168372
2020-10-04;299237;6623815;170033
2020-10-05;300619;6685082;172452
2020-10-06;303258;6757131;174611
2020-10-07;306086;6835655;176719
2020-10-08;310144;6906151;179121
2020-10-09;314660;6979423;181576
2020-10-10;319381;7053806;183330
2020-10-11;322864;7120538;185227
2020-10-12;325331;7175880;186752
2020-10-13;329453;7239389;190222
2020-10-14;334585;7307097;192761
2020-10-15;341223;7370468;195254
2020-10-16;348557;7432680;197694
2020-10-17;356387;7494551;199477
2020-10-18;361974;7550273;201410
2020-10-19;366299;7597063;204551
2020-10-20;373167;7651107;207028
2020-10-21;380762;7706946;209687
2020-10-22;392049;7761312;212235
2020-10-23;403291;7814682;215340
2020-10-24;418005;7864811;217354
2020-10-25;429181;7909959;219284
2020-10-26;437866;7946429;223514
2020-10-27;449275;7990322;226263
2020-10-28;464239;8040203;229139
2020-10-29;481013;8088851;232095
2020-10-30;499694;8137119;235522
2020-10-31;518753;8184082;237844
2020-11-01;532930;8229313;240361
2020-11-02;545027;8267623;243665
2020-11-03;560379;8313876;248386
2020-11-04;577593;8364086;251245
2020-11-05;597583;8411724;255285
2020-11-06;619089;8462080;260094
2020-11-07;642488;8507754;264324
2020-11-08;658505;8553657;268276
2020-11-09;671868;8591730;273167
2020-11-10;687200;8636011;277808
2020-11-11;705687;8683916;281928
2020-11-12;727553;8728795;287419
2020-11-13;751095;8773479;292283
2020-11-14;773556;8814579;296568
2020-11-15;790503;8845127;300673
2020-11-16;801327;8874290;306491
2020-11-17;815746;8912907;310914
2020-11-18;833307;8958483;315628
2020-11-19;855916;9004365;320643
2020-11-20;879564;9050597;325716
2020-11-21;902528;9095806;330545
2020-11-22;918269;9139865;335179
2020-11-23;929133;9177840;341951
2020-11-24;942687;9222216;347381
2020-11-25;961320;9266705;353026
2020-11-26;983588;9309787;358888
2020-11-27;1006394;9351109;364757
2020-11-28;1028089;9392919;370341
2020-11-29;1042700;9431691;375794
2020-11-30;1053869;9462809;383468
2020-12-01;1067473;9499413;389268
2020-12-02;1084743;9534964;395636
2020-12-03;1106789;9571559;402165
2020-12-04;1130238;9608211;408988
2020-12-05;1153556;9644222;415171
2020-12-06;1171323;9677203;421102
2020-12-07;1183655;9703770;428917
2020-12-08;1197709;9735850;435178
2020-12-09;1218524;9767371;441542
2020-12-10;1242203;9796744;448106
2020-12-11;1272078;9826775;455124
2020-12-12;1300516;9857029;461299
2020-12-13;1320716;9884100;467291
2020-12-14;1337078;9906165;475836
2020-12-15;1351510;9932547;482187
2020-12-16;1379238;9956557;489005
2020-12-17;1406161;9979447;496390
2020-12-18;1439938;10004599;503584
